model,MAE,RMSE,MAPE,R2,Max_Error,Median_AE
XGBoost,6.272116697744174,13.495979786829862,0.20199049151229725,0.999429473788502,652.153076171875,4.1767578125
Random Forest,4.290041715549418,15.95326328386812,0.14029656943965546,0.9992028026822194,852.9709933862428,1.9438837181355666
