model,MAE,RMSE,MAPE,R2,Max_Error,Median_AE,removed_group,n_features,n_removed,rmse_change,rmse_change_pct
Without temporal,13.985375669030628,20.700841281696665,0.45291752140221003,0.9986594066699749,273.349365234375,9.833984375,temporal,40,17.0,-3.7030748931621496,-15.174101019807216
Without rolling,13.992584910541954,20.944103378566506,0.45798545814138664,0.998627714075146,298.739013671875,9.5660400390625,rolling,37,20.0,-3.459812796292308,-14.177285200875447
Without holiday,15.514655530573826,23.908405175485196,0.5034294351338002,0.9982117745246066,371.47314453125,10.262939453125,holiday,55,2.0,-0.495510999373618,-2.0304568980781
Without interaction,15.609824740562145,24.107727411828822,0.5064754964970617,0.9981818336838302,349.2099609375,10.2235107421875,interaction,54,3.0,-0.296188763029992,-1.2136935765052699
All Features,15.763252242800183,24.403916174858814,0.5106891789734617,0.9981368830696474,373.86474609375,10.2103271484375,None (Baseline),57,,,
Without difference,52.43157951544088,76.88286482082536,1.6732445839235346,0.981508157804444,1134.013427734375,36.560791015625,difference,52,5.0,52.47894864596655,215.04314418204297
Without lag,59.05692196706116,88.03011279944779,1.9081981217100215,0.9757571552712644,542.700927734375,34.103271484375,lag,51,6.0,63.62619662458898,260.72125542759153
