model,MAE,RMSE,MAPE,R2,Max_Error,Median_AE,hour
Hour 0,7.420532822027439,18.95428741831019,0.2702931947033997,0.9955665551822837,243.456298828125,4.866943359375,0
Hour 1,7.470928210746951,21.013477513250585,0.2829587177235451,0.9933358398560911,276.579833984375,4.71728515625,1
Hour 2,8.342172017911585,26.196786005604146,0.34898730313703386,0.9855056634583435,343.062255859375,4.95263671875,2
Hour 3,6.563941025152439,11.727056645848014,0.2772107424988496,0.9964750731763445,121.40087890625,4.317138671875,3
Hour 4,6.934498856707317,12.334467981067915,0.2917546599636692,0.9959526569652393,125.55126953125,4.63330078125,4
Hour 5,11.054524342606708,18.92249215058405,0.4458816858390096,0.9912239253272387,138.52294921875,6.910888671875,5
Hour 6,20.203208365091463,30.45967579088458,0.7311647698854742,0.987237559189335,129.993408203125,11.837890625,6
Hour 7,21.706545350609755,32.32273462782285,0.6994690729443435,0.9917843784931637,111.652587890625,12.909912109375,7
Hour 8,18.95792802019817,29.27786604614573,0.5838846342465575,0.9934887435398564,126.48876953125,10.87548828125,8
Hour 9,16.04148494387136,23.254078157151866,0.48061626674750624,0.994943984177086,107.4833984375,10.29638671875,9
Hour 10,12.777197976714199,18.103095141662727,0.37092219334391335,0.9963083868030224,56.71826171875,7.6971435546875,10
Hour 11,9.90647991884102,14.902483183971482,0.27539416667978744,0.9970873449784494,57.56298828125,5.943603515625,11
Hour 12,8.22000047637195,12.635703949724823,0.22497170183675552,0.9979199660421575,59.8701171875,4.910888671875,12
Hour 13,11.725876524390245,17.026778551466247,0.33269488432392263,0.9969691590276705,79.01513671875,8.15478515625,13
Hour 14,13.358388910060976,19.49976767506849,0.39008586411051194,0.996295452400281,67.07568359375,8.3994140625,14
Hour 15,17.153660918445123,26.517408706295733,0.4938288972620143,0.993313554608327,160.137939453125,9.9580078125,15
Hour 16,14.529122999237805,22.43004529511927,0.3990241106551511,0.994511073626204,89.28955078125,7.471923828125,16
Hour 17,11.86461747332317,20.426733376004343,0.3050204360297141,0.9955964588502434,90.42333984375,5.4541015625,17
Hour 18,13.817008860518293,22.894687025145295,0.36136846880914447,0.9965027595195134,126.8818359375,7.364013671875,18
Hour 19,13.063440659466911,20.029702234332426,0.3555128864543655,0.9980788658047518,120.5615234375,7.76513671875,19
Hour 20,12.371803433287377,17.839369718838466,0.3575400659372259,0.9980749645169799,94.01708984375,9.0462646484375,20
Hour 21,13.139127843520221,17.84249185687561,0.4052976620314678,0.99720272372082,58.39208984375,9.28125,21
Hour 22,15.46896436737805,26.095933816071344,0.518930809847214,0.9925789924039624,226.629638671875,8.7470703125,22
Hour 23,9.106411109224034,23.65463066019638,0.3191769207242049,0.9938291931939676,277.436279296875,4.85205078125,23
