model,MAE,RMSE,MAPE,R2,Max_Error,Median_AE,added_group,n_features,cumulative_groups
+ lag,52.81067564157101,76.53312879386912,1.6442100126240362,0.981676011950318,1309.559814453125,37.712158203125,lag,6,lag
+ rolling,45.34532163667272,64.84044674168526,1.4260053616343022,0.986847356159535,923.778564453125,33.627197265625,rolling,26,"lag, rolling"
+ temporal,38.05882692860181,56.2874325361265,1.2003348093393307,0.990088396003976,692.230712890625,28.2698974609375,temporal,43,"lag, rolling, temporal"
+ difference,9.373325364951048,16.120189448269073,0.3058810760851025,0.9991870546597147,573.09423828125,6.5281982421875,difference,48,"lag, rolling, temporal, difference"
+ interaction,9.351774845797568,15.626998148343665,0.30616216595960816,0.9992360372478253,554.276611328125,6.5311279296875,interaction,51,"lag, rolling, temporal, difference, interaction"
+ holiday,9.351774845797568,15.626998148343665,0.30616216595960816,0.9992360372478253,554.276611328125,6.5311279296875,holiday,53,"lag, rolling, temporal, difference, interaction, holiday"
