model,MAE,RMSE,MAPE,R2,Max_Error,Median_AE,month
Month 2,11.508088624112991,17.77307486160459,0.2944434575718979,0.9990640192695769,93.394287109375,7.19140625,2
Month 3,8.353049985824093,12.5624676125072,0.23096494215567492,0.9995140106446786,76.274169921875,5.2615966796875,3
Month 4,5.727164374457465,8.408440730865099,0.19529979995942115,0.9996403252089909,58.2685546875,3.969970703125,4
Month 5,5.0976715087890625,6.835741183901692,0.18087796854795637,0.9997684397531417,30.25390625,3.9730224609375,5
Month 6,5.740170360442817,8.882933005665237,0.1989806012388684,0.9996988605613524,108.407470703125,4.113525390625,6
Month 7,4.071729255445076,5.4891261596853935,0.13749143608556255,0.9998914469001788,39.8056640625,3.1087646484375,7
Month 8,7.348497492061201,14.031216985112836,0.24714398668553883,0.9993388616185865,166.680419921875,4.64794921875,8
Month 9,6.11446295844184,25.483256117867626,0.20611868456076743,0.9978991940254387,652.153076171875,3.89013671875,9
